association_name,canonical,score,wup,bert,method,verb_tokens,prep_tokens,adverb_tokens,all_tokens,participants,occurrence_count,low_confidence
StructuralBaySupportsDoorAssembly,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | door | assembly,DoorAssembly + StructuralBay,2,
StructuralBaySupportsEquipmentBoom,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | equipment | boom,EquipmentBoom + StructuralBay,2,
StructuralBaySupportsHandwashSink,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | handwash | sink,HandwashSink + StructuralBay,2,
StructuralBaySupportsImagingMachine,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | imaging | machine,ImagingMachine + StructuralBay,2,
StructuralBaySupportsMedicalGasPanel,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | medical | gas | panel,MedicalGasPanel + StructuralBay,2,
StructuralBaySupportsNurseCallPanel,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | nurse | call | panel,NurseCallPanel + StructuralBay,2,
StructuralBaySupportsPatientMonitorMount,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | patient | monitor | mount,PatientMonitorMount + StructuralBay,2,
StructuralBaySupportsServerRack,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | server | rack,ServerRack + StructuralBay,2,
StructuralBaySupportsSterileCabinet,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | sterile | cabinet,SterileCabinet + StructuralBay,2,
StructuralBaySupportsSurgicalLight,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | surgical | light,StructuralBay + SurgicalLight,2,
StructuralBaySupportsWasteBin,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,structural | bay | supports | waste | bin,StructuralBay + WasteBin,2,
StrutOnControlArm,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,strut | on | control | arm,ControlArm + SuspensionStrut + WheelHub,2,
StudentCompletesAssessment,Causes,0.6646,0.8889,0.4403,wup+bert,completes,,,student | completes | assessment,Assessment + Student,2,
StudentCreatesRegistration,MadeOf,0.7881,1.0,0.5762,wup+bert,creates,,,student | creates | registration,Registration + Student,2,
StudentEnrolledInProgram,ReceivesAction,0.5237,0.8,0.2474,wup+bert,enrolled,in,,student | enrolled | in | program,AcademicProgram + Student; Program + Student,8,
StudentEvaluatedByProgressEvaluation,ReceivesAction,0.6714,1.0,0.3428,wup+bert,evaluated,by,,student | evaluated | by | progress | evaluation,ProgressEvaluation + Student,2,
StudentHasMealPlan,HasA,0.8565,1.0,0.713,wup+bert,has,,,student | has | meal | plan,MealPlan + Student,6,
StudentHasParkingPermit,HasA,0.8565,1.0,0.713,wup+bert,has,,,student | has | parking | permit,ParkingPermit + Student,2,
StudentHasPermit,HasA,0.8565,1.0,0.713,wup+bert,has,,,student | has | permit,ParkingPermit + Student,2,
StudentInOrganization,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,student | in | organization,Student + StudentOrganization,6,
StudentOnTeam,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,student | on | team,SportsTeam + Student,4,
StudentParticipatesInLearningActivity,Causes,0.5163,0.5,0.5325,wup+bert,participates,in,,student | participates | in | learning | activity,LearningActivity + Student,2,
StudentReceivesScholarship,ReceivesAction,0.7295,1.0,0.459,wup+bert,receives,,,student | receives | scholarship,Scholarship + Student,6,
StudentRegisteredInSection,ReceivesAction,0.6347,1.0,0.2695,wup+bert,registered,in,,student | registered | in | section,CourseSection + Student,6,
StudentResidingInDorm,AtLocation,0.7268,0.875,0.5786,wup+bert,,in,,student | residing | in | dorm,DormRoom + Student,6,
StudentTakesCourse,CapableOf,0.752,1.0,0.5039,wup+bert,takes,,,student | takes | course,Course + Student,2,
StudyRoomInLibrary,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,study | room | in | library,LibraryBranch + StudyRoom,2,
SupportClusterContainsBackupGenerator,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,support | cluster | contains | backup | generator,BackupGenerator + SupportCluster,2,
SupportClusterContainsCentralSupplyArea,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,support | cluster | contains | central | supply | area,CentralSupplyArea + SupportCluster,2,
SupportClusterContainsElevatorBank,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,support | cluster | contains | elevator | bank,ElevatorBank + SupportCluster,2,
SupportClusterContainsITCloset,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,support | cluster | contains | it | closet,ITCloset + SupportCluster,2,
SupportClusterContainsSterilizationUnit,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,support | cluster | contains | sterilization | unit,SterilizationUnit + SupportCluster,2,
SupportClusterContainsWaterTreatmentUnit,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,support | cluster | contains | water | treatment | unit,SupportCluster + WaterTreatmentUnit,2,
SurgeonOperatesInOR,UsedFor,0.7027,1.0,0.4055,wup+bert,operates,in,,surgeon | operates | in | or,OperatingRoom + Surgeon,4,
SurgeryRecovery,Causes,0.4793,0.8,0.1587,wup+bert,,,,surgery | recovery,Recovery + Surgery,1,YES
SurgeryRobotTable,AtLocation,0.5122,0.75,0.2744,wup+bert,,,,surgery | robot | table,SurgicalRobot + SurgicalTable,1,
SurgicalLightInOR,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,surgical | light | in | or,OperatingRoom + SurgicalLight,2,
SurgicalTableInOR,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,surgical | table | in | or,OperatingRoom + SurgicalTable,2,
SuspensionAssemblySupportsWheel,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,suspension | assembly | supports | wheel,SuspensionAssembly + Wheel,2,
SuspensionMountsToBody,AtLocation,0.6454,1.0,0.2908,wup+bert,mounts,to,,suspension | mounts | to | body,Chassis + SuspensionUnit,2,
SuspensionSupportsWheelAssembly,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,suspension | supports | wheel | assembly,SuspensionUnit + WheelAssembly,2,
SuspensionToWheelAttachment,UsedFor,0.42,0.0,0.42,wup+bert,,to,,suspension | to | wheel | attachment,Suspension + Wheel,2,YES
SwayBarLinksHubs,Connects,0.7402,1.0,0.4803,wup+bert,links,,,sway | bar | links | hubs,SwayBar + WheelHub,2,
SwitchConnectsToRouter,Connects,0.8784,1.0,0.7569,wup+bert,connects,to,,switch | connects | to | router,NetworkSwitch + SmartRouter,2,
SwitchControlsBulb,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,switch | controls | bulb,SmartBulb + SmartLightSwitch,2,
SwitchControlsFixture,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,switch | controls | fixture,SmartLightFixture + SmartLightSwitch,2,
SwitchInBuilding,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,switch | in | building,Building + NetworkSwitch,4,
TAAssistsSection,CapableOf,0.3721,0.4,0.3441,wup+bert,assists,,,ta | assists | section,CourseSection + TeachingAssistant,4,YES
TAIsStudent,HasPrerequisite,0.6585,1.0,0.317,wup+bert,is,,,ta | is | student,Student + TeachingAssistant,4,
TVInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,tv | in | room,Room + SmartTV,4,
TamperCompressesBasket,MadeOf,0.349,0.3333,0.3647,wup+bert,compresses,,,tamper | compresses | basket,FilterBasket + Tamper,2,YES
TapHandleOnTap,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,tap | handle | on | tap,BeerTap + TapHandle,2,
TapOnKegerator,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,tap | on | kegerator,BeerTap + Kegerator,2,
TeamUseFacility,HasPrerequisite,0.5243,0.5,0.5485,wup+bert,,,,team | use | facility,AthleticFacility + SportsTeam,2,
TeamUsesFacility,HasPrerequisite,0.5265,0.5,0.5531,wup+bert,uses,,,team | uses | facility,AthleticFacility + SportsTeam,2,
TechTransferIndustryPartner,UsedFor,0.5058,0.8571,0.1545,wup+bert,,,,tech | transfer | industry | partner,IndustryPartner + TechTransfer,1,
TechnicianInImaging,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,technician | in | imaging,ImagingCenter + Technician; ImagingSuite + Technician,6,
TechnicianInLab,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,technician | in | lab,ClinicalLaboratory + Technician,6,
TechnologySystemSupportsPerson,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,technology | system | supports | person,Person + TechnologySystem,2,
TechnologySystemSupportsRoom,UsedFor,0.6061,0.6667,0.5456,wup+bert,supports,,,technology | system | supports | room,Room + TechnologySystem,2,
TempSensorInRoom,AtLocation,0.6423,0.875,0.4095,wup+bert,,in,,temp | sensor | in | room,Room + TemperatureSensor,2,
TermContainsCourseSection,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,term | contains | course | section,CourseSection + Term,2,
ThermometerOnVessel,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,thermometer | on | vessel,MashTun + Thermometer,2,
ThermometerUsedWithKettle,Connects,0.4969,0.5,0.4938,wup+bert,used,with,,thermometer | used | with | kettle,Kettle + Thermometer,2,YES
ThermostatControlsHVAC,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,thermostat | controls | hvac,HVACUnit + SmartThermostat,6,
ThermostatControlsHVACUnit,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,thermostat | controls | hvac | unit,HVACUnit + Thermostat,2,
ThermostatControlsZone,CapableOf,0.7714,1.0,0.5429,wup+bert,controls,,,thermostat | controls | zone,SmartThermostat + Zone,2,
ThermostatRegulatesFlow,CapableOf,0.6355,1.0,0.271,wup+bert,regulates | flow,,,thermostat | regulates | flow,Radiator + Thermostat,2,
ThrottleToIntakeManifold,RelatedTo,0.2197,0.0,0.2197,fallback,,to,,throttle | to | intake | manifold,IntakeManifold + ThrottleBody,2,YES
TimingChainSyncsCamCrank,Connects,0.4824,0.75,0.2149,wup+bert,,,,timing | chain | syncs | cam | crank,Camshaft + Crankshaft + TimingChain,2,YES
TipOnSteamWand,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,tip | on | steam | wand,SteamTip + SteamWand,2,
TireOnWheel,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,tire | on | wheel,Tire + Wheel,2,
TorqueConverterCouplesEngineTransmission,Connects,0.7409,1.0,0.4818,wup+bert,couples,,,torque | converter | couples | engine | transmission,Crankshaft + TorqueConverter + Transmission,2,
TransferCaseDistributesPower,UsedFor,0.6293,0.8,0.4586,wup+bert,distributes,,,transfer | case | distributes | power,Gearbox + PropellerShaft + TransferCase,2,
TransferToolConnectsBoilKettleAndFermenter,Connects,0.8834,1.0,0.7668,wup+bert,connects,,,transfer | tool | connects | boil | kettle | and | fermenter,BoilKettle + Fermenter + TransferTool,2,
TransmissionAssemblyCoupledToDriveAxleAssembly,Connects,0.7957,1.0,0.5914,wup+bert,coupled,to,,transmission | assembly | coupled | to | drive | axle | assembly,DriveAxleAssembly + TransmissionAssembly,2,
TransmissionConnectedToDifferential,Connects,0.8664,1.0,0.7328,wup+bert,connected,to,,transmission | connected | to | differential,Differential + Transmission,2,
TransmissionToDriveshaft,UsedFor,0.4633,0.0,0.4633,wup+bert,,to,,transmission | to | driveshaft,Driveshaft + Transmission,2,YES
TransmissionToDriveshaftLink,UsedFor,0.4633,0.0,0.4633,wup+bert,,to,,transmission | to | driveshaft | link,Driveshaft + Transmission,2,YES
TreatmentMedication,Causes,0.5206,0.7273,0.3139,wup+bert,,,,treatment | medication,Medication + Treatment,1,
TreatmentSurgery,Causes,0.4841,0.7273,0.2409,wup+bert,,,,treatment | surgery,Surgery + TreatmentPlan,1,YES
TubeTerminalAtLab,AtLocation,1.0,0.0,1.0,spatial_prep,,at,,tube | terminal | at | lab,ClinicalLaboratory + PneumaticTubeTerminal,2,
TubeTerminalAtPharmacy,AtLocation,1.0,0.0,1.0,spatial_prep,,at,,tube | terminal | at | pharmacy,PharmacySpace + PneumaticTubeTerminal,2,
TubeTerminalAtStation,AtLocation,1.0,0.0,1.0,spatial_prep,,at,,tube | terminal | at | station,NurseStation + PneumaticTubeTerminal,2,
TubingConnectsComponents,Connects,0.7416,1.0,0.4832,wup+bert,connects,,,tubing | connects | components,BallValve + SiliconeTubing; QuickDisconnect + SiliconeTubing,4,
TubingConnectsVessels,Connects,0.746,1.0,0.4919,wup+bert,connects,,,tubing | connects | vessels,BallValve + SiliconeTubing,2,
TubingSetConnectsKettleAndFermentationBucket,Connects,0.8834,1.0,0.7668,wup+bert,connects,,,tubing | set | connects | kettle | and | fermentation | bucket,FermentationBucket + Kettle + TubingSet,2,
TurbochargerBoostsIntake,UsedFor,0.6305,0.8,0.4609,wup+bert,boosts,,,turbocharger | boosts | intake,IntakeManifold + Turbocharger,2,
UJointConnectsDriveshaft,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,joint | connects | driveshaft,Driveshaft + UniversalJoint,2,
UPSProtectsEquipment,UsedFor,0.3008,0.2857,0.3158,wup+bert,protects,,,ups | protects | equipment,Server + UPS,2,YES
UPSProtectsServer,HasA,0.3727,0.3333,0.412,wup+bert,protects,,,ups | protects | server,Server + UPS,2,YES
UltrasoundInSuite,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,ultrasound | in | suite,ImagingSuite + UltrasoundMachine,2,
UniversityContainsCollege,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,university | contains | college,College + University,2,
UniversityGovernedByGovernanceBody,CapableOf,0.7769,1.0,0.5538,wup+bert,governed,by,,university | governed | by | governance | body,GovernanceBody + University,2,
UniversityOperatesAcademicCalendar,UsedFor,0.8085,1.0,0.6169,wup+bert,operates,,,university | operates | academic | calendar,AcademicCalendar + University,2,
UsedGroundsToKnockBox,Connects,0.5134,0.75,0.2769,wup+bert,used | grounds,to,,used | grounds | to | knock | box,KnockBox + Portafilter,2,
VacuumCleansRoom,CapableOf,0.5257,0.6,0.4514,wup+bert,cleans,,,vacuum | cleans | room,RobotVacuum + Room,2,
ValveAssemblyConnectsTubingSet,Connects,0.8927,1.0,0.7855,wup+bert,connects,,,valve | assembly | connects | tubing | set,TubingSet + ValveAssembly,2,
ValveOnHLT,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,valve | on | hlt,BallValve + HotLiquorTank,2,
ValveOnKettle,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,valve | on | kettle,BallValve + BrewKettle,2,
ValveOnMashTun,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,valve | on | mash | tun,BallValve + MashTun,2,
ValveOnVessel,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,valve | on | vessel,BallValve + MashTun,2,
ValveSpringReturnsValve,HasA,0.5165,0.75,0.2831,wup+bert,returns,,,valve | spring | returns | valve,Valve + ValveSpring,2,
VehicleContainsAll,PartOf,0.7578,1.0,0.5155,wup+bert,contains,,,vehicle | contains | all,EngineBlock + Frame + Transmission + Vehicle,2,
VehicleOnRoute,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,vehicle | on | route,ShuttleRoute + ShuttleVehicle,4,
VentServesRoom,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,vent | serves | room,Room + SmartVent,6,
VentilatorInEmergency,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,ventilator | in | emergency,EmergencyBay + Ventilator,2,
VentilatorInICU,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,ventilator | in | icu,ICUBay + Ventilator,2,
VesselOnBrewStand,MadeOf,0.5348,0.75,0.3196,wup+bert,,on,,vessel | on | brew | stand,BrewKettle + BrewStand,4,
VideoConfInRoom,CapableOf,0.6665,0.875,0.4581,wup+bert,,in,,video | conf | in | room,Room + VideoConferenceUnit,2,
VoiceAssistantInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,voice | assistant | in | room,Room + VoiceAssistantDevice,2,
WDTBreaksClumps,MadeOf,0.458,0.8571,0.0588,wup+bert,breaks | clumps,,,wdt | breaks | clumps,FilterBasket + WDTTool,2,YES
WasherCleansBottle,CapableOf,0.5257,0.6,0.4514,wup+bert,cleans,,,washer | cleans | bottle,Bottle + BottleWasher,2,
WasteHandlingUnitServesFloor,UsedFor,0.7834,1.0,0.5668,wup+bert,serves,,,waste | handling | unit | serves | floor,Floor + WasteHandlingUnit,2,
WaterFilterFeedsReservoir,UsedFor,0.7558,1.0,0.5115,wup+bert,feeds,,,water | filter | feeds | reservoir,WaterFilter + WaterReservoir,4,
WaterFilterOnSupply,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,water | filter | on | supply,HotLiquorTank + WaterFilter,2,
WaterPumpCirculatesCoolant,PartOf,0.439,0.7273,0.1507,wup+bert,circulates | coolant,,,water | pump | circulates | coolant,EngineBlock + Radiator + WaterPump,2,YES
WaterSourceToChiller,UsedFor,0.3809,0.0,0.3809,wup+bert,,to,,water | source | to | chiller,WaterSource + WortChiller,2,YES
WaterSourceToHLT,CapableOf,0.5772,0.0,0.5772,wup+bert,,to,,water | source | to | hlt,HotLiquorTank + WaterSource,2,
WaterSupplySystemSuppliesCoffeeMakerAssembly,UsedFor,0.8066,1.0,0.6131,wup+bert,supplies,,,water | supply | system | supplies | coffee | maker | assembly,CoffeeMakerAssembly + WaterSupplySystem,2,
WaterTreatmentSuppliesHLT,UsedFor,0.5678,1.0,0.1357,wup+bert,supplies | hlt,,,water | treatment | supplies | hlt,CarbonFilter + HotLiquorTank,2,
WeatherStationInformsIrrigation,ReceivesAction,0.6001,0.8,0.4002,wup+bert,informs,,,weather | station | informs | irrigation,SmartIrrigationController + WeatherStation,2,
WeatherStationServesSite,UsedFor,0.7365,1.0,0.473,wup+bert,serves,,,weather | station | serves | site,OutdoorArea + WeatherStation,2,
WheelOnHub,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,wheel | on | hub,Wheel + WheelHub,2,
WheelSpeedSensorMonitorsWheel,ReceivesAction,0.6774,1.0,0.3549,wup+bert,monitors,,,wheel | speed | sensor | monitors | wheel,WheelAssembly + WheelSpeedSensor,2,
WhirlpoolInKettle,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,whirlpool | in | kettle,BrewKettle + WhirlpoolArm,2,
WiFiAPInBuilding,AtLocation,0.6522,0.875,0.4295,wup+bert,,in,,wi | fi | ap | in | building,Building + WiFiAccessPoint,8,
WiFiOnFloor,AtLocation,1.0,0.0,1.0,spatial_prep,,on,,wi | fi | on | floor,Floor + WiFiAccessPoint,4,
WindowCoveringInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,window | covering | in | room,Room + SmartWindowCovering,2,
WorkspaceContainsCoffeeStation,PartOf,0.7976,1.0,0.5952,wup+bert,contains,,,workspace | contains | coffee | station,CoffeeStation + Workspace,2,
WorkstationAtStation,AtLocation,1.0,0.0,1.0,spatial_prep,,at,,workstation | at | station,ClinicalWorkstation + NurseStation,2,
WorkstationInExamRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,workstation | in | exam | room,ClinicalWorkstation + ExamRoom,2,
WorkstationInRoom,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,workstation | in | room,Room + Workstation,2,
XRayInSuite,AtLocation,1.0,0.0,1.0,spatial_prep,,in,,ray | in | suite,ImagingSuite + XRayMachine,2,
YeastPacketStoredAdjacentToFermentationBucket,ReceivesAction,0.3639,0.5714,0.1564,wup+bert,stored,to,,yeast | packet | stored | adjacent | to | fermentation | bucket,FermentationBucket + YeastPacket,2,YES
